Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1490.0	1.0000	0.0080699	123.92	1225.8	1668.2	8.6262	0.94600	1.2428	762.42	-0.079383	53.823	0.089907	vapor
1500.0	1.0000	0.0080161	124.75	1235.3	1680.6	8.6345	0.94709	1.2439	764.87	-0.079600	54.056	0.090361	vapor
1510.0	1.0000	0.0079630	125.58	1244.8	1693.1	8.6428	0.94816	1.2450	767.31	-0.079813	54.288	0.090814	vapor
1520.0	1.0000	0.0079107	126.41	1254.3	1705.5	8.6510	0.94922	1.2460	769.74	-0.080021	54.520	0.091266	vapor
1530.0	1.0000	0.0078590	127.24	1263.8	1718.0	8.6591	0.95027	1.2471	772.17	-0.080225	54.751	0.091717	vapor
1540.0	1.0000	0.0078079	128.07	1273.3	1730.4	8.6673	0.95130	1.2481	774.59	-0.080425	54.982	0.092167	vapor
1550.0	1.0000	0.0077576	128.91	1282.8	1742.9	8.6754	0.95232	1.2491	777.00	-0.080621	55.213	0.092616	vapor
1560.0	1.0000	0.0077079	129.74	1292.3	1755.4	8.6834	0.95333	1.2501	779.40	-0.080813	55.442	0.093063	vapor
1570.0	1.0000	0.0076588	130.57	1301.8	1767.9	8.6914	0.95432	1.2511	781.80	-0.081001	55.672	0.093510	vapor
1580.0	1.0000	0.0076103	131.40	1311.4	1780.5	8.6993	0.95531	1.2521	784.19	-0.081185	55.901	0.093955	vapor
1590.0	1.0000	0.0075625	132.23	1320.9	1793.0	8.7072	0.95627	1.2531	786.57	-0.081366	56.129	0.094400	vapor
1600.0	1.0000	0.0075152	133.06	1330.5	1805.5	8.7151	0.95723	1.2540	788.94	-0.081543	56.357	0.094843	vapor
1610.0	1.0000	0.0074685	133.90	1340.1	1818.1	8.7229	0.95817	1.2550	791.31	-0.081717	56.585	0.095286	vapor
1620.0	1.0000	0.0074224	134.73	1349.7	1830.6	8.7307	0.95911	1.2559	793.67	-0.081887	56.812	0.095727	vapor
